,feature_id,latitude,longitude,easting,northing,utm_epsg,SoVI,pop_d_c
510,510,50.99726355,-114.1138892,702511.4023,5653485.747,32611,Low,Low
511,511,51.00431668,-114.1018083,703328.0904,5654303.148,32611,Moderate,Low
512,512,51.00225741,-114.113561,702512.6738,5654041.839,32611,Moderate,Moderate
513,513,51.00429424,-114.1103118,702731.7194,5654277.219,32611,Moderate,Moderate
514,514,51.00688213,-114.1135527,702493.1065,5654556.013,32611,Moderate,Low
515,515,51.01003679,-114.1104286,702698.476,5654915.322,32611,Moderate,Moderate
516,516,51.0139427,-114.1134056,702472.6606,5655341.373,32611,Moderate,Moderate
517,517,51.0137819,-114.106382,702965.932,5655342.826,32611,Low,Moderate
518,518,51.01238779,-114.1005184,703383.2465,5655204.01,32611,Moderate,Moderate
519,519,51.0180114,-114.1054771,703010.9136,5655815.533,32611,Low,Moderate
520,520,51.01810846,-114.0997806,703409.9458,5655842.039,32611,Low,Moderate
521,521,51.02143367,-114.1066684,702912.4237,5656192.719,32611,Low,Moderate
522,522,51.0245646,-114.1080441,702802.2894,5656537.01,32611,Low,Moderate
523,523,51.02511732,-114.1141118,702374.4504,5656581.768,32611,Low,Moderate
524,524,51.02871884,-114.1144295,702336.485,5656981.294,32611,Low,Moderate
525,525,51.02907149,-114.1084845,702751.7389,5657036.85,32611,Moderate,Moderate
526,526,51.02813916,-114.1045568,703031.1754,5656944.019,32611,Moderate,Moderate
527,527,51.03168859,-114.1040841,703048.7924,5657339.929,32611,High,Moderate
528,528,51.02208276,-114.1339745,700994.944,5656190.01,32611,Moderate,Low
529,529,51.02709736,-114.1324572,701079.6217,5656751.651,32611,Moderate,Moderate
530,530,51.02960897,-114.1340377,700957.9445,5657026.566,32611,Low,Moderate
531,531,51.0306608,-114.1379532,700678.9019,5657132.828,32611,Moderate,Moderate
532,532,51.01060739,-114.1297526,701340.6963,5654925.765,32611,Moderate,Low
533,533,51.00487129,-114.123704,701789.8206,5654304.605,32611,Moderate,Moderate
534,534,50.96998922,-114.1111292,702823.9222,5650461.135,32611,Moderate,Moderate
535,535,50.96856532,-114.1157683,702504.4653,5650290.078,32611,Moderate,Low
536,536,50.96663482,-114.1100758,702912.4867,5650091.111,32611,Moderate,Moderate
537,537,50.96439679,-114.1203827,702198.6504,5649813.979,32611,Low,Moderate
538,538,50.96773242,-114.1228468,702011.1799,5650178.058,32611,Low,Moderate
539,539,50.96486875,-114.1279098,701668.1631,5649845.827,32611,Moderate,Low
540,540,50.96250767,-114.1281059,701664.6299,5649582.8,32611,Low,Moderate
541,541,50.95995935,-114.1285617,701643.6654,5649298.246,32611,Low,Moderate
542,542,50.95831382,-114.1253807,701874.1397,5649124.011,32611,Low,Moderate
543,543,50.95834583,-114.1201593,702240.6189,5649141.881,32611,Moderate,Moderate
544,544,50.95566996,-114.125903,701848.9277,5648828.652,32611,Moderate,Low
545,545,50.95383342,-114.1333921,701331.0002,5648603.998,32611,Moderate,Moderate
546,546,50.95561515,-114.1333386,701327.0508,5648802.227,32611,Low,Moderate
547,547,50.95778064,-114.132895,701348.8387,5649044.186,32611,Moderate,Moderate
548,548,50.95970925,-114.1371902,701038.9207,5649246.875,32611,Low,Moderate
549,549,50.958744,-114.1383435,700962.1134,5649136.42,32611,Moderate,Low
550,550,50.95376938,-114.1372432,701060.8463,5648586.369,32611,Moderate,Moderate
551,551,50.94873548,-114.1309396,701525.272,5648043.94,32611,Moderate,Low
552,552,50.9482938,-114.1323228,701430.0448,5647991.056,32611,Moderate,Moderate
553,553,50.94542022,-114.1338347,701336.2828,5647667.46,32611,Moderate,Moderate
554,554,50.94132818,-114.1390192,700989.8109,5647198.386,32611,Moderate,Low
555,555,50.94272153,-114.1363266,701172.9237,5647360.633,32611,Moderate,Moderate
556,556,50.93953142,-114.135228,701263.8708,5647008.974,32611,Low,Moderate
557,557,50.93996693,-114.1308545,701569.1873,5647069.337,32611,Low,Moderate
558,558,50.94295021,-114.1297412,701634.4789,5647404.044,32611,Low,Moderate
559,559,50.94393528,-114.1232996,702082.6439,5647531.192,32611,Moderate,Moderate
560,560,50.94483275,-114.1266311,701844.7686,5647621.842,32611,Moderate,Moderate
561,561,50.94797274,-114.123359,702060.9601,5647979.89,32611,Moderate,Moderate
562,562,50.94883262,-114.1277294,701750.3015,5648063.519,32611,Moderate,Moderate
563,563,50.9436734,-114.1200065,702315.0776,5647511.109,32611,Moderate,Moderate
564,564,50.93790756,-114.1206907,702292.0603,5646868.221,32611,Low,Low
565,565,50.93946039,-114.1236945,702074.3205,5647032.619,32611,Low,Moderate
566,566,50.93645832,-114.1291407,701704.7586,5646683.957,32611,Low,Low
567,567,50.93504306,-114.1282128,701776.0727,5646529.156,32611,Low,Moderate
568,568,50.93104516,-114.1290663,701733.4164,5646082.359,32611,Moderate,Low
569,569,50.93716119,-114.1348247,701302.434,5646746.566,32611,Low,Moderate
570,570,50.96845966,-114.1374177,700985.1641,5650219.077,32611,Low,Low
